MeterType,MeterSerial,UtilityName,UtilityGroup,LineConnected,MeterName,UomScale,UomName,SystemName,SystemCode,Description,SampleValues
2,1,null,null,Voltage_1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase R Voltage (Volts) — Phase-to-neutral voltage on Phase 1; should be ~230V,"244.12, 244.92, 232.09"
2,1,null,null,Voltage_2,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase Y Voltage (Volts) — Phase-to-neutral voltage on Phase 2; should be ~230V,"241.15, 243.08, 231.01"
2,1,null,null,Voltage_3,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase B Voltage (Volts) — Phase-to-neutral voltage on Phase 3; should be ~230V,"240.91, 241.91, 232.21"
2,1,null,null,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,Active Power Demand — Instantaneous real power being drawn at any given moment,"0.03, 0.03, 40.95"
2,1,null,null,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.01, -8.8338107386E8, 4366.81"
2,2,null,null,Current_1,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase R Current (Amps) — Current on Phase 1; imbalance across phases indicates a fault condition,"25.84, 14.81, 10.75"
2,2,null,null,Current_2,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase Y Current (Amps) — Current on Phase 2; imbalance across phases indicates a fault condition,"44.94, 2.97, 8.89"
2,2,null,null,Current_3,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase B Current (Amps) — Current on Phase 3; imbalance across phases indicates a fault condition,"14.78, 14.35, 5.31"
2,2,null,null,FREQ,Electricity,Hz,Freq,Electricity Monitoring,ELEC01,Grid Frequency (Hz) — Should be ~50 Hz in India; deviations indicate grid instability,null
2,2,null,null,KVA-Sum,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,Total Apparent Power — Combined real and reactive power demand at that instant,"0.42, 0.42, 0.41"
2,2,null,null,KVAR-Sum,Electricity,KVAR,Reactive Power,Electricity Monitoring,ELEC01,Reactive Power Demand — Current reactive power being drawn; high values indicate need for capacitor bank correction,"416.43, 405.45, 417.43"
2,2,null,null,KVARH,Electricity,KVARH,Reactive Energy,Electricity Monitoring,ELEC01,"Reactive Energy — Energy that oscillates without doing real work; caused by motors, compressors and inductive loads","0.6, 3.33, -0.41"
2,2,null,null,KVARH (LAG),Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,"Lagging Reactive Energy (Inductive) — Dominant in restaurants due to refrigeration compressors, exhaust fans and HVAC motors; key driver of poor power factor",null
2,2,null,null,NA,Electricity,NA,NA,Electricity Monitoring,ELEC01,Not Assigned / Not Applicable,null
2,2,null,null,PF,Electricity,PF,Power Factor,Electricity Monitoring,ELEC01,Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.92, 0.97, 1.0"
2,2,null,null,VOLTAGE_3-1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Line-to-Line Voltage (Phase 3 to Phase 1) — Should be ~415V in a 3-phase supply system,null
2,2,null,null,VTHD_B,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase B) — Power quality indicator; high THD from variable speed drives and inverters,null
2,2,null,null,VTHD_R,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase R) — Power quality indicator; high THD from variable speed drives and inverters,null
2,2,null,null,VTHD_Y,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase Y) — Power quality indicator; high THD from variable speed drives and inverters,null
2,2,null,null,Voltage_1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase R Voltage (Volts) — Phase-to-neutral voltage on Phase 1; should be ~230V,"244.12, 244.92, 232.09"
2,2,null,null,Voltage_2,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase Y Voltage (Volts) — Phase-to-neutral voltage on Phase 2; should be ~230V,"241.15, 243.08, 231.01"
2,2,null,null,Voltage_3,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase B Voltage (Volts) — Phase-to-neutral voltage on Phase 3; should be ~230V,"240.91, 241.91, 232.21"
2,2,null,null,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,Active Power Demand — Instantaneous real power being drawn at any given moment,"0.03, 0.03, 40.95"
2,2,null,null,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.01, -8.8338107386E8, 4366.81"
2,3,null,null,Current_1,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase R Current (Amps) — Current on Phase 1; imbalance across phases indicates a fault condition,"25.84, 14.81, 10.75"
2,3,null,null,Current_2,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase Y Current (Amps) — Current on Phase 2; imbalance across phases indicates a fault condition,"44.94, 2.97, 8.89"
2,3,null,null,Current_3,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase B Current (Amps) — Current on Phase 3; imbalance across phases indicates a fault condition,"14.78, 14.35, 5.31"
2,3,null,null,FREQ,Electricity,Hz,Freq,Electricity Monitoring,ELEC01,Grid Frequency (Hz) — Should be ~50 Hz in India; deviations indicate grid instability,null
2,3,null,null,KVA-Sum,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,Total Apparent Power — Combined real and reactive power demand at that instant,"0.42, 0.42, 0.41"
2,3,null,null,KVAR-Sum,Electricity,KVAR,Reactive Power,Electricity Monitoring,ELEC01,Reactive Power Demand — Current reactive power being drawn; high values indicate need for capacitor bank correction,"416.43, 405.45, 417.43"
2,3,null,null,KVARH,Electricity,KVARH,Reactive Energy,Electricity Monitoring,ELEC01,"Reactive Energy — Energy that oscillates without doing real work; caused by motors, compressors and inductive loads","0.6, 3.33, -0.41"
2,3,null,null,KVARH (LAG),Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,"Lagging Reactive Energy (Inductive) — Dominant in restaurants due to refrigeration compressors, exhaust fans and HVAC motors; key driver of poor power factor",null
2,3,null,null,NA,Electricity,NA,NA,Electricity Monitoring,ELEC01,Not Assigned / Not Applicable,null
2,3,null,null,PF,Electricity,PF,Power Factor,Electricity Monitoring,ELEC01,Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.92, 0.97, 1.0"
2,3,null,null,VOLTAGE_3-1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Line-to-Line Voltage (Phase 3 to Phase 1) — Should be ~415V in a 3-phase supply system,null
2,3,null,null,VTHD_B,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase B) — Power quality indicator; high THD from variable speed drives and inverters,null
2,3,null,null,VTHD_R,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase R) — Power quality indicator; high THD from variable speed drives and inverters,null
2,3,null,null,VTHD_Y,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase Y) — Power quality indicator; high THD from variable speed drives and inverters,null
2,3,null,null,Voltage_1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase R Voltage (Volts) — Phase-to-neutral voltage on Phase 1; should be ~230V,"244.12, 244.92, 232.09"
2,3,null,null,Voltage_2,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase Y Voltage (Volts) — Phase-to-neutral voltage on Phase 2; should be ~230V,"241.15, 243.08, 231.01"
2,3,null,null,Voltage_3,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase B Voltage (Volts) — Phase-to-neutral voltage on Phase 3; should be ~230V,"240.91, 241.91, 232.21"
2,3,null,null,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,Active Power Demand — Instantaneous real power being drawn at any given moment,"0.03, 0.03, 40.95"
2,3,null,null,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.01, -8.8338107386E8, 4366.81"
2,8,null,null,Current_1,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase R Current (Amps) — Current on Phase 1; imbalance across phases indicates a fault condition,"25.84, 14.81, 10.75"
2,8,null,null,Current_2,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase Y Current (Amps) — Current on Phase 2; imbalance across phases indicates a fault condition,"44.94, 2.97, 8.89"
2,8,null,null,Current_3,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase B Current (Amps) — Current on Phase 3; imbalance across phases indicates a fault condition,"14.78, 14.35, 5.31"
2,8,null,null,FREQ,Electricity,Hz,Freq,Electricity Monitoring,ELEC01,Grid Frequency (Hz) — Should be ~50 Hz in India; deviations indicate grid instability,null
2,8,null,null,KVA-Sum,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,Total Apparent Power — Combined real and reactive power demand at that instant,"0.42, 0.42, 0.41"
2,8,null,null,KVAR-Sum,Electricity,KVAR,Reactive Power,Electricity Monitoring,ELEC01,Reactive Power Demand — Current reactive power being drawn; high values indicate need for capacitor bank correction,"416.43, 405.45, 417.43"
2,8,null,null,KVARH,Electricity,KVARH,Reactive Energy,Electricity Monitoring,ELEC01,"Reactive Energy — Energy that oscillates without doing real work; caused by motors, compressors and inductive loads","0.6, 3.33, -0.41"
2,8,null,null,KVARH (LAG),Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,"Lagging Reactive Energy (Inductive) — Dominant in restaurants due to refrigeration compressors, exhaust fans and HVAC motors; key driver of poor power factor",null
2,8,null,null,NA,Electricity,NA,NA,Electricity Monitoring,ELEC01,Not Assigned / Not Applicable,null
2,8,null,null,PF,Electricity,PF,Power Factor,Electricity Monitoring,ELEC01,Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.92, 0.97, 1.0"
2,8,null,null,VOLTAGE_3-1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Line-to-Line Voltage (Phase 3 to Phase 1) — Should be ~415V in a 3-phase supply system,null
2,8,null,null,VTHD_B,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase B) — Power quality indicator; high THD from variable speed drives and inverters,null
2,8,null,null,VTHD_R,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase R) — Power quality indicator; high THD from variable speed drives and inverters,null
2,8,null,null,VTHD_Y,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase Y) — Power quality indicator; high THD from variable speed drives and inverters,null
2,8,null,null,Voltage_1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase R Voltage (Volts) — Phase-to-neutral voltage on Phase 1; should be ~230V,"244.12, 244.92, 232.09"
2,8,null,null,Voltage_2,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase Y Voltage (Volts) — Phase-to-neutral voltage on Phase 2; should be ~230V,"241.15, 243.08, 231.01"
2,8,null,null,Voltage_3,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Phase B Voltage (Volts) — Phase-to-neutral voltage on Phase 3; should be ~230V,"240.91, 241.91, 232.21"
2,8,null,null,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,Active Power Demand — Instantaneous real power being drawn at any given moment,"0.03, 0.03, 40.95"
2,8,null,null,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.01, -8.8338107386E8, 4366.81"
3,52,null,null,Temperature,Temperature,°C,Temperature,Temperature Monitoring,TEMP01,Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"29.0, 29.8, 36.0"
3,53,null,null,Temperature,Temperature,°C,Temperature,Temperature Monitoring,TEMP01,Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"29.0, 29.8, 36.0"
3,67,null,null,Temperature,Temperature,°C,Temperature,Temperature Monitoring,TEMP01,Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"29.0, 29.8, 36.0"
3,68,null,null,Temperature,Temperature,°C,Temperature,Temperature Monitoring,TEMP01,Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"29.0, 29.8, 36.0"
8,51,null,null,Battery,Fuel Model_2,Volt,Voltage,Diesel Generator System,DSLGS1,Generator Battery Voltage — Health indicator of the DG starter battery,"27.16, 27.17, 11.82"
8,51,null,null,DG_Running_Time,Fuel Model_2,Min,Run Time Min,Diesel Generator System,DSLGS1,Diesel Generator Running Time (Min) — Accumulated running time of the DG set; used for maintenance scheduling and fuel consumption tracking,null
8,51,null,null,Fuel Consumed,Fuel Model_2,Ltrs,FLow,Diesel Generator System,DSLGS1,Fuel Consumed (Litres) — Volume of diesel consumed by the generator; used for efficiency monitoring and replenishment planning,null
8,51,null,null,Fuel Filled,Fuel Model_2,Ltrs,FLow,Diesel Generator System,DSLGS1,Fuel Volume Added (Litres) — Diesel quantity refilled into the generator tank,null
8,51,null,null,Fuel Level,Fuel Model_2,Lvl Ltrs,Level,Diesel Generator System,DSLGS1,Fuel Level (Litres) — Current diesel fuel level in the generator tank; low level triggers a refill alert,"45.57, 45.57"
8,51,null,null,Unit Status,Fuel Model_2,ON/OFF,Status,Diesel Generator System,DSLGS1,"Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection",null
18,66,null,null,Water Flow,Water Flow,Ltrs,FLow,Water Flow,WAF01,Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"2.0, 9.0, 1.0"
18,68,null,null,Water Flow,Water Flow,Ltrs,FLow,Water Flow,WAF01,Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"2.0, 9.0, 1.0"
18,69,null,null,Water Flow,Water Flow,Ltrs,FLow,Water Flow,WAF01,Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"2.0, 9.0, 1.0"
18,70,null,null,Water Flow,Water Flow,Ltrs,FLow,Water Flow,WAF01,Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"2.0, 9.0, 1.0"
18,71,null,null,Water Flow,Water Flow,Ltrs,FLow,Water Flow,WAF01,Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"2.0, 9.0, 1.0"
DX02,256,null,null,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"6.0, 4.0, 4.0"
DX02,256,null,null,Cooling Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)",null
DX02,256,null,null,Delta T Air,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.4, 1.3, 3.0"
DX02,256,null,null,Filter Pressure,AC DX,Pa,Differential Pressure,Air Handling Unit System,AHUS01,Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"28.0, 90.4, 96.8"
DX02,256,null,null,Return Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"33.0, 22.2, 20.3"
DX02,256,null,null,Set Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 22.0"
DX02,256,null,null,Status FB,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly",null
DX02,256,null,null,Supply Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"32.6, 22.8, 23.5"
DX02,256,null,null,Unit RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"24.0, 6.0, 9.0"
DX02,256,null,null,Unit Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection",null
DX02,257,null,null,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"6.0, 4.0, 4.0"
DX02,257,null,null,Cooling Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)",null
DX02,257,null,null,Delta T Air,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.4, 1.3, 3.0"
DX02,257,null,null,Filter Pressure,AC DX,Pa,Differential Pressure,Air Handling Unit System,AHUS01,Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"28.0, 90.4, 96.8"
DX02,257,null,null,Return Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"33.0, 22.2, 20.3"
DX02,257,null,null,Set Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 22.0"
DX02,257,null,null,Status FB,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly",null
DX02,257,null,null,Supply Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"32.6, 22.8, 23.5"
DX02,257,null,null,Unit RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"24.0, 6.0, 9.0"
DX02,257,null,null,Unit Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection",null
DX02,258,null,null,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"6.0, 4.0, 4.0"
DX02,258,null,null,Cooling Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)",null
DX02,258,null,null,Delta T Air,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.4, 1.3, 3.0"
DX02,258,null,null,Filter Pressure,AC DX,Pa,Differential Pressure,Air Handling Unit System,AHUS01,Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"28.0, 90.4, 96.8"
DX02,258,null,null,Return Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"33.0, 22.2, 20.3"
DX02,258,null,null,Set Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 22.0"
DX02,258,null,null,Status FB,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly",null
DX02,258,null,null,Status_1,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 1 Status — Operating state of AC DX Unit 1 (1 = Running, 0 = Stopped)",null
DX02,258,null,null,Status_2,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 2 Status — Operating state of AC DX Unit 2 (1 = Running, 0 = Stopped)",null
DX02,258,null,null,Status_3,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 3 Status — Operating state of AC DX Unit 3 (1 = Running, 0 = Stopped)",null
DX02,258,null,null,Status_4,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 4 Status — Operating state of AC DX Unit 4 (1 = Running, 0 = Stopped)",null
DX02,258,null,null,Supply Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"32.6, 22.8, 23.5"
DX02,258,null,null,Unit RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"24.0, 6.0, 9.0"
DX02,258,null,null,Unit Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection",null
DX02,259,null,null,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"6.0, 4.0, 4.0"
DX02,259,null,null,Cooling Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)",null
DX02,259,null,null,Delta T Air,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.4, 1.3, 3.0"
DX02,259,null,null,Filter Pressure,AC DX,Pa,Differential Pressure,Air Handling Unit System,AHUS01,Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"28.0, 90.4, 96.8"
DX02,259,null,null,Return Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"33.0, 22.2, 20.3"
DX02,259,null,null,Set Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 22.0"
DX02,259,null,null,Status FB,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly",null
DX02,259,null,null,Status_1,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 1 Status — Operating state of AC DX Unit 1 (1 = Running, 0 = Stopped)",null
DX02,259,null,null,Status_2,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 2 Status — Operating state of AC DX Unit 2 (1 = Running, 0 = Stopped)",null
DX02,259,null,null,Status_3,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 3 Status — Operating state of AC DX Unit 3 (1 = Running, 0 = Stopped)",null
DX02,259,null,null,Status_4,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"AC Unit 4 Status — Operating state of AC DX Unit 4 (1 = Running, 0 = Stopped)",null
DX02,259,null,null,Supply Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"32.6, 22.8, 23.5"
DX02,259,null,null,Unit RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"24.0, 6.0, 9.0"
DX02,259,null,null,Unit Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection",null
DX02,260,null,null,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"6.0, 4.0, 4.0"
